序号,配件编码,配件名称,销售单价,单位,预警,状态
7,51601250111,保时捷卡宴 冷气风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
8,51601187813,保时捷卡宴 风格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
9,51601125869,保时捷卡宴 后刹车报警线,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
10,51601062444,保时捷卡宴 前刹车报警线,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
11,51601000020,保时捷卡宴 后刹车盘,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
12,51600937311,保时捷卡宴 后刹车片,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
13,51600859014,保时捷卡宴 前刹车片,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
14,51600781140,保时捷卡宴 刹车油（1L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
15,51600703113,保时捷卡宴 皮带张紧组件,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
16,51600625985,保时捷卡宴  机脚胶R,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
17,51600546858,保时捷卡宴 机脚胶L,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,51600453021,保时捷卡宴 皮带张紧器,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,51600375154,保时捷卡宴 下水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
20,51600296126,保时捷卡宴 上水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
1,51600171714,保时捷卡宴 控制管路,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
2,34802903048,理想L9 亚雅马哈底盘件,￥7800.00,套,"预警库存：/                                

                                滞销天数：/",在售
3,32453019391,保时捷992 SD包围 排气,￥63000.00,套,"预警库存：/                                

                                滞销天数：/",在售
4,31402968876,L9 AP刹车,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
5,31217577152,理想L9全车威固玻璃膜,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
6,25943103608,奔驰S电镀件,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
7,94714543119,保时捷718刹车油含工时,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
8,94714480595,保时捷718RH356刹车碟套,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
9,94714418170,保时捷718卡钳保养翻新套,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
10,85547476571,宝马X4M运动档把,￥6400.00,个,"预警库存：/                                

                                滞销天数：/",在售
11,83641234542,宝马3系波箱油,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
12,82605558111,威尔法前杠前唇,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
13,75819284210,帕拉梅拉右倒车镜灯,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
14,75741768951,帕拉梅拉后视镜壳喷漆,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
15,75741533128,帕拉梅拉前杠喷漆,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
16,74932468610,帕拉梅拉倒视镜片R,￥0.00,片,"预警库存：/                                

                                滞销天数：/",在售
17,74719701100,古斯特年审,￥0.00,1,"预警库存：/                                

                                滞销天数：/",在售
18,65958246910,理想L8 方向机内球头,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,63837769129,倍耐力255/40R20,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
20,63745128508,蔚来ET5T HRE电风扇,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
1,81856440705,ROWE德威 DOT4 刹车油（1L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
2,13107848157,大众GTI湖蓝色安全带,￥1600.00,套,"预警库存：/                                

                                滞销天数：/",在售
3,53753621032,传祺M8空调格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
4,53753542905,传祺M8进气格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
5,53753480141,传祺M8机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
6,50849167213,宝马1系中冷,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
7,22744589020,米其林255/40R18,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
8,22744527512,米其林225/45R18,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
9,22417871122,宝马3系波箱油底壳带滤芯,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,22130308714,宝马3系进气格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
11,22130246510,宝马3系机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
12,91126527512,宝马X4上牌,￥3100.00,个,"预警库存：/                                

                                滞销天数：/",在售
13,20426089500,奔驰C出风口氛围灯,￥1600.00,套,"预警库存：/                                

                                滞销天数：/",在售
14,85502042145,奔驰GLC43汽包,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
15,85412261463,奔驰GLC43打气泵编程,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
16,85100042145,奔驰GLC43分配阀,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
17,85059964158,奔驰GLC43避震机打气泵,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,42617339590,全车 M5哑光透明车衣,￥13800.00,套,"预警库存：/                                

                                滞销天数：/",在售
19,51413038614,兰博基尼小牛空调格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,51412960881,兰博基尼小牛机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
1,45334476610,宝马M2过渡轮,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
2,45334413046,宝马M2过渡轮,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
3,45334351222,宝马M2皮带张紧器,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
4,44702116911,路虎极光修复门板,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
5,42425163116,奥迪A5刹车盘光碟,￥200.00,个,"预警库存：/                                

                                滞销天数：/",在售
6,41617382634,奔驰S遮阳帘,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
7,41503663136,全车 消光铝水银,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
8,41240148013,东洋235/65R18,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
9,40726335519,全车 PET胭脂粉,￥6500.00,套,"预警库存：/                                

                                滞销天数：/",在售
10,40020726510,保时捷718刹车一套,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
11,35813476610,保时捷718刹车分泵螺丝,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
12,61936675010,布雷博pista四活塞刹车套装,￥22520.00,套,"预警库存：/                                

                                滞销天数：/",在售
13,53639425710,马牌255/45R19,￥1275.00,条,"预警库存：/                                

                                滞销天数：/",在售
14,40606050102,奔驰E53卡钳喷漆,￥400.00,个,"预警库存：/                                

                                滞销天数：/",在售
15,34948519110,奔驰E53右前下弯臂,￥2600.00,条,"预警库存：/                                

                                滞销天数：/",在售
16,34948456812,奔驰E53左前下弯臂,￥2600.00,条,"预警库存：/                                

                                滞销天数：/",在售
17,33946190153,奔驰E53轮毂翻新,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,33946112126,奔驰E53右后视镜壳喷漆,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,33716019090,奔驰E53原厂轮毂盖,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,33715956012,奔驰E53发动机下护板,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
1,33715894488,奔驰E53前直臂胶套内,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
2,33715831064,奔驰E53前直臂胶套外,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
3,33715769240,奔驰E53进气歧管垫,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
4,33715706112,奔驰E53机油盖,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
5,33715644158,奔驰E53原厂水箱水（1L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
6,33715581134,奔驰E53空调格外,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
7,33715519110,奔驰E53空调格内,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
8,33715456812,奔驰E53进气格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
9,33715378515,奔驰E53机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,33243097113,米其林PS4S 235/35ZR20,￥2200.00,条,"预警库存：/                                

                                滞销天数：/",在售
11,84015394368,米其林215/55R17,￥900.00,条,"预警库存：/                                

                                滞销天数：/",在售
12,83859878715,丰田大霸王空调格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
13,83859815511,丰田大霸王进气格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
14,83859753537,丰田大霸王机油格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
15,83525737214,阿斯顿马丁远程编程,￥1200.00,个,"预警库存：/                                

                                滞销天数：/",在售
16,4411830053,保时捷Macan汽油泵总成,￥4275.00,个,"预警库存：/                                

                                滞销天数：/",在售
17,44118300532,汽油泵总成,￥4275.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,13402019090,奔驰A35车身电池,￥1600.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,85323222435,东洋235/45R18,￥660.00,条,"预警库存：/                                

                                滞销天数：/",在售
20,85242893116,丰田亚洲龙发电机,￥1200.00,个,"预警库存：/                                

                                滞销天数：/",在售
1,85208128115,全车 PET液态金属银,￥5000.00,卷,"预警库存：/                                

                                滞销天数：/",在售
2,44828428211,特斯拉Model 3全车威固玻璃膜,￥12800.00,套,"预警库存：/                                

                                滞销天数：/",在售
3,52445103413,宝马X5 an顶翼,￥1300.00,件,"预警库存：/                                

                                滞销天数：/",在售
4,52117306122,宝马X5进气格,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
5,51618353313,宝马540 P9668镀镍,￥20000.00,套,"预警库存：/                                

                                滞销天数：/",在售
6,53328348101,宝马X5下摆臂直R,￥2250.00,个,"预警库存：/                                

                                滞销天数：/",在售
7,53328066501,宝马X5下摆臂直L,￥2250.00,个,"预警库存：/                                

                                滞销天数：/",在售
8,53328004314,宝马X5下摆臂弯R,￥2580.00,个,"预警库存：/                                

                                滞销天数：/",在售
9,53327941510,宝马X5下摆臂弯L,￥2580.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,44745834140,大众GTI机油格,￥90.00,个,"预警库存：/                                

                                滞销天数：/",在售
11,44624741511,ROWE德威5W-30,￥248.00,支,"预警库存：/                                

                                滞销天数：/",在售
12,35823110153,奔驰CLS钣金做底,￥300.00,个,"预警库存：/                                

                                滞销天数：/",在售
13,33010464010,宝马X3火花塞,￥120.00,个,"预警库存：/                                

                                滞销天数：/",在售
14,33010418150,宝马X3进气格,￥90.00,个,"预警库存：/                                

                                滞销天数：/",在售
15,33010355212,宝马X3空调格,￥120.00,个,"预警库存：/                                

                                滞销天数：/",在售
16,22736445513,奇瑞小蚂蚁韩亚玻璃膜,￥1200.00,套,"预警库存：/                                

                                滞销天数：/",在售
17,65753425103,奥迪RS7机空调（外）,￥80.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,65753378688,奥迪RS7机空调（内）,￥330.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,65753316265,奥迪RS7机油格,￥255.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,60326660512,丰田埃尔法玻璃膜手工费,￥0.00,套,"预警库存：/                                

                                滞销天数：/",在售
1,51802691614,ROWE德威 DOT5.1刹车油（1L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
2,13043191414,宝马X4黄金眼模块,￥1200.00,套,"预警库存：/                                

                                滞销天数：/",在售
3,65640769911,路虎极光玻璃膜,￥3000.00,套,"预警库存：/                                

                                滞销天数：/",在售
4,44820933412,丰田86专用差速锁油,￥600.00,个,"预警库存：/                                

                                滞销天数：/",在售
5,25919730477,丰田86锁止片,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
6,25919683512,丰田86原装差速器油,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
7,25919620938,丰田86差速器轴承,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
8,23856245060,M3倒车镜座R,￥2300.00,个,"预警库存：/                                

                                滞销天数：/",在售
9,21308730477,奔驰SLC波箱散热油管,￥750.00,条,"预警库存：/                                

                                滞销天数：/",在售
10,20546995210,奔驰C座椅通风,￥3000.00,套,"预警库存：/                                

                                滞销天数：/",在售
11,10751230357,PET GT银,￥0.00,米,"预警库存：/                                

                                滞销天数：/",在售
12,90056870128,腾势D9无痕修复,￥300.00,个,"预警库存：/                                

                                滞销天数：/",在售
13,12424433212,保时捷卡宴ABS传感器,￥300.00,个,"预警库存：/                                

                                滞销天数：/",在售
14,43722842156,蔚来ET7狗骨,￥1900.00,套,"预警库存：/                                

                                滞销天数：/",在售
15,40904451515,宝马540i空调风格,￥200.00,个,"预警库存：/                                

                                滞销天数：/",在售
16,32241139061,理想L6刹车 INSPEED CS8,￥9000.00,套,"预警库存：/                                

                                滞销天数：/",在售
17,13440980671,宝马3系涡轮冷却水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
18,13440933556,宝马3系缸体密封盖,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,13440886311,宝马3系缸体水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
20,13440839120,宝马3系原装水箱水（1.5L）,￥0.00,支,"预警库存：/                                

                                滞销天数：/",在售
1,13440777512,宝马3系进气歧管密封胶圈,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
2,13440714138,宝马3系皮带,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
3,13440668113,宝马3系机油冷却水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
4,13440605399,宝马3系辅助水泵水管,￥0.00,条,"预警库存：/                                

                                滞销天数：/",在售
5,13440543975,宝马3系水泵总成带支架,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
6,13440496510,宝马3系机油格底座总诚成,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
7,13440433436,宝马3系涡轮冷却水管,￥0.00,个,"预警库存：/                                

                                滞销天数：/",在售
8,62318987142,三菱EVO电磁阀总成,￥1100.00,个,"预警库存：/                                

                                滞销天数：/",在售
9,62230475116,三菱EVO空调格,￥110.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,62230404310,三菱EVO机油格,￥100.00,个,"预警库存：/                                

                                滞销天数：/",在售
11,62230343115,三菱EVO继电器,￥120.00,个,"预警库存：/                                

                                滞销天数：/",在售
12,62230283330,三菱EVO凸轮轴传感器,￥700.00,个,"预警库存：/                                

                                滞销天数：/",在售
13,62230222011,三菱EVO顶棚拉手,￥200.00,个,"预警库存：/                                

                                滞销天数：/",在售
14,62230154101,三菱EVO波箱油（4L）,￥600.00,桶,"预警库存：/                                

                                滞销天数：/",在售
15,30647738136,ICR PET郁金香粉,￥5200.00,套,"预警库存：/                                

                                滞销天数：/",在售
16,65322663810,GLS迈巴赫空调格外,￥235.00,个,"预警库存：/                                

                                滞销天数：/",在售
17,65322616913,GLS迈巴赫空调格内,￥235.00,个,"预警库存：/                                

                                滞销天数：/",在售
18,65322565314,GLS迈巴赫进气格,￥298.00,个,"预警库存：/                                

                                滞销天数：/",在售
19,65322510912,GLS迈巴赫机油格,￥198.00,个,"预警库存：/                                

                                滞销天数：/",在售
20,64542976155,宝马3系机进气格,￥130.00,个,"预警库存：/                                

                                滞销天数：/",在售
1,64542913215,宝马3系机油格,￥70.00,个,"预警库存：/                                

                                滞销天数：/",在售
2,64411248112,普利司通225/45R18,￥1200.00,条,"预警库存：/                                

                                滞销天数：/",在售
3,64347970314,普利司通225/45R18,￥1300.00,条,"预警库存：/                                

                                滞销天数：/",在售
4,10437342118,保时捷turbos轮毂翻新,￥800.00,个,"预警库存：/                                

                                滞销天数：/",在售
5,10302651153,全车秃鹰Baby blus改色膜,￥6000.00,套,"预警库存：/                                

                                滞销天数：/",在售
6,10007663583,保时捷turbos空调格外,￥220.00,个,"预警库存：/                                

                                滞销天数：/",在售
7,10007616611,保时捷turbos空调格内,￥350.00,个,"预警库存：/                                

                                滞销天数：/",在售
8,10007568383,保时捷turbos机油格胶圈,￥50.00,个,"预警库存：/                                

                                滞销天数：/",在售
9,10007503151,保时捷turbos机油格,￥200.00,个,"预警库存：/                                

                                滞销天数：/",在售
10,74737194115,全车秃鹰超哑白,￥6500.00,套,"预警库存：/                                

                                滞销天数：/",在售
